category,headline,date,publication,slug,url,img
Blog,How I built a Twitter bot that tweets 100-year-old New York Times articles,"25 April, 2017",,nyt-1917,null,null
Published,What&rsquo;s it like to get trolled all day long?,"17 April, 2017",Hindustan Times,trolled-all-day,http://www.hindustantimes.com/interactives/lets-talk-about-trolls/whats-it-like-to-get-trolled-all-day-long/,img/barkha-dutt-feed.png
Published,Electoral Trusts: How some of India&rsquo;s biggest companies route money to political parties,"14 April, 2017",Hindustan Times,electoral-trusts,http://www.hindustantimes.com/interactives/electoral-trusts-explained/,img/electoral-trust-sankey.png
Published,The Indian Premier League: A tangled history,"5 April, 2017",Hindustan Times,ipl-history,http://www.hindustantimes.com/interactives/indian-premier-league-complete-history/,img/tangles.png
Published,Every key budget scheme in one chart,"3 February, 2017",Hindustan Times,every-budget-scheme-one-chart,http://www.hindustantimes.com/static/union-budget-2017/every-budget-scheme-one-chart/,img/budget-beeswarm.png
Published,"For every 100 rupees the government spends, only 34 matter","1 February, 2017",Hindustan Times,bubble-budget-breakdown,http://www.hindustantimes.com/static/union-budget-2017/bubble-budget-breakdown/,img/bubble-budget.png
Published,Let Lata Sing!,"28 September, 2016",Hindustan Times,lata,http://www.hindustantimes.com/static/let-lata-mangeshkar-sing/,img/let-lata-sing.png
Published,"India&rsquo;s civilian awards, a visual history","15 September, 2016",Hindustan Times,padmas-visual-history,http://www.hindustantimes.com/static/padmas-visual-history/,img/stream-graph.png
Published,Indian women are rapidly leaving the workforce,"29 June, 2016",Hindustan Times,women-workforce,http://www.hindustantimes.com/static/indian-women-leaving-workforce/,http://www.hindustantimes.com/static/indian-women-leaving-workforce/img/women-air-traffic-controllers.JPG
Published,The Forsaken,"11 May, 2016",Hindustan Times,the-forsaken,http://www.hindustantimes.com/static/deaths-door/the-forsaken-death-penalty.html,http://www.hindustantimes.com/static/deaths-door/image/story2/barbed-wire-wall.png
Published,India's Battle Against HIV Yields Uneven Gains,"28 January, 2016",Hindustan Times,naco-aids,http://www.hindustantimes.com/static/india-hiv-national-aids-control-organisation/,http://www.hindustantimes.com/static/india-hiv-national-aids-control-organisation/img/world-aids-day-india.jpg
Published,"NYPD oversight agency staffed by young, untested investigators","24 June, 2015",The New York World,ccrb,http://www.thenewyorkworld.com/2015/06/25/intense-scrutiny-young-untested-staff-ccrb-tasked-investigating-police-misconduct/,http://harryjstevens.com/wp-content/uploads/2015/06/NYPD.jpg
Published,A risky cargo on the Hudson River,"26 April, 2015",The Albany Times Union,bakken,http://www.timesunion.com/tuplus-local/article/A-risky-cargo-on-the-Hudson-River-6224364.php,http://harryjstevens.com/wp-content/uploads/2015/04/628x471.jpg
Published,New York companies exceed campaign contribution limits with impunity,"12 November, 2014",The New York World,campaign-contributions-new-york,http://www.thenewyorkworld.com/2014/11/12/state-little-rein-corporations-routinely-exceed-campaign-contribution-limits/,http://harryjstevens.com/wp-content/uploads/2014/11/New-York-state-capitol_cropped-690x417.jpg
Published,Utility boss who failed to prevent alleged fraud gets severance,"30 August, 2014",The Salt Lake Tribune,heber-light-and-power,http://archive.sltrib.com/story.php?ref=/sltrib/news/58338926-78/stewart-company-heber-franco.html.csp,http://harryjstevens.com/wp-content/uploads/2014/07/Screen-shot-2014-07-01-at-4.01.03-PM-259x300.png
Published,Black tenant alleges racism at Utah apartment building,"23 August, 2014",The Salt Lake Tribune,coleman,http://archive.sltrib.com/story.php?ref=/sltrib/news/58321513-78/coleman-friendship-manor-housing.html.csp,http://harryjstevens.com/wp-content/uploads/2014/08/Screen-Shot-2014-08-23-at-10.39.08-AM-640x581.png
Published,30-year search: Mother seeks remains of lost son who died in Utah,"18 August, 2014",The Salt Lake Tribune,lee-beeler,http://archive.sltrib.com/story.php?ref=/sltrib/mobilemobileopinion/58271918-183/lee-beeler-kathy-mary.html.csp,http://harryjstevens.com/wp-content/uploads/2014/08/Screen-shot-2014-08-18-at-11.43.57-AM-300x290.png
Published,Where life is: The search for a planet like ours,"11 June, 2014",The Atlantic,where-life-is,http://www.theatlantic.com/technology/archive/2014/06/where-life-is-the-search-for-a-planet-like-ours/372595/,https://cdn.theatlantic.com/assets/media/img/mt/2014/06/Kepler_10b/lead_large.jpg?1430155760
Published,Holy Land Christians hope Pope Francis might revive peace talks,"13 May, 2014",The Washington Post,pope-francis,http://www.washingtonpost.com/national/religion/holy-land-christians-hope-pope-francis-visit-might-revive-peace-talks/2014/05/13/f79b84b8-dab0-11e3-a837-8835df6c12c4_story.html,http://harryjstevens.com/wp-content/uploads/2014/05/pope-francis.jpg
